,iter_idx,sample_num,unq_num,actual_unq_num,repetition_num,next_rep_sample_num,sampling_time,max_amp,min_amp,sampled_prob,eval_amps_time,ipr,renorm_ipr,candidate_x_primes_num,sampled_unq_x_primes_num,sampled_x_primes_num,sampled_coupled_yz_num,non_sampled_unq_x_primes_num,non_sampled_x_primes_num,non_sampled_coupled_yz_num,candidates_time,filter_candidates_time,find_a_in_b_time,find_sampled_and_coupled_time,sampled_matrix_elements_time,sampled_scatter_time,non_sampled_matrix_elements_time,non_sampled_scatter_time,eval_non_sampled_amps_time,full_energy,sample_aware_energy,hf_proj_energy_real,hf_proj_energy_imag,full_hf_proj_energy_real,full_hf_proj_energy_imag,eval_loss_time,backward_time,sr_unq_num,sr_sampled_prob,sr_max_amp,sr_min_amp,sr_time,proc_grad_time,iter_time
0,0,(1+0j),10000,10000,1,10000,0.07567286491394043,(0.00726614484330731-0.006472945618877304j),(6.479468627819438e-06+5.246233481300239e-05j),0.022111411001391607,0.08247995376586914,3.353050598053638e-07,0.0006858153362696416,,,28028,4785730,,,,,,,0.23148250579833984,0.06170487403869629,0.0007638931274414062,,,,,-42.260596475603826,-87.77354801992291,0.02864518190601566,,,0.37727880477905273,0.07108163833618164,50,0.002579062411402952,(0.00726614484330731-0.006472945618877304j),(0.005230479943211273-0.0027101039360831283j),0.1420588493347168,0.14355015754699707,0.6780116558074951
1,1,(1.0000000000000002+0j),10000,10000,1,10000,0.0685429573059082,(0.008009506899952196-0.0066435529898306225j),(4.093416422928502e-05-3.6846242335342385e-05j),0.02040873536812176,0.0677330493927002,2.72883149498449e-07,0.0006551557094211689,,,27493,4783504,,,,,,,0.221954345703125,0.06744146347045898,0.0007395744323730469,,,,,-44.94678680830212,-87.01573498866304,0.02940475951163975,,,0.35865259170532227,0.06139945983886719,50,0.002358575061582482,(0.008009506899952196-0.0066435529898306225j),(-0.001800615699444677+0.005399935778335732j),0.12171697616577148,0.12275862693786621,0.621746301651001
2,2,(1+0j),10000,10000,1,10000,0.0646505355834961,(0.0032073809223622505+0.009505656975416972j),(-4.3105214761989925e-05-2.991779510842637e-05j),0.019813589806687515,0.05880856513977051,2.490657122404813e-07,0.0006344356940031125,,,26948,4778310,,,,,,,0.19697952270507812,0.06335687637329102,0.000659942626953125,,,,,-49.341440373799784,-88.24031523773247,0.05087711579820074,,,0.320544958114624,0.05790352821350098,50,0.002204642432625696,(0.0032073809223622505+0.009505656975416972j),(0.005305683740299645-0.000587786610741735j),0.13094305992126465,0.13199543952941895,0.5859432220458984
3,3,(1+0j),10000,10000,1,10000,0.06301069259643555,(0.012177405372117847-0.0017076515695317635j),(1.255914423615535e-06-4.482980621922266e-05j),0.020699118945201826,0.05275750160217285,3.211648532859117e-07,0.0007495908761755337,,,27414,4784528,,,,,,,0.21612286567687988,0.06696367263793945,0.0006821155548095703,,,,,-51.67782570254548,-88.0642531395667,0.016193425477765425,,,0.33728718757629395,0.06107926368713379,50,0.0025665856371724243,(0.012177405372117847-0.0017076515695317635j),(0.003604549881956853+0.004258500398143571j),0.12288880348205566,0.1239171028137207,0.5957310199737549
4,4,(1.0000000000000002+0j),10000,10000,1,10000,0.06158804893493652,(0.01522108022399575-0.0029320341031614655j),(-3.408809743176007e-05+2.0817124351878127e-05j),0.022101310100886028,0.05313301086425781,4.5803076360400177e-07,0.0009376885480865866,,,27263,4782446,,,,,,,0.1911334991455078,0.06473207473754883,0.0007119178771972656,,,,,-55.80981574830345,-87.81627460591531,0.04578793954418681,,,0.3105132579803467,0.06113553047180176,50,0.0032728038170504186,(0.01522108022399575-0.0029320341031614655j),(0.006275555590597336+0.0002792155752181152j),0.12249994277954102,0.12354588508605957,0.5674459934234619
5,5,(0.9999999999999999+0j),10000,10000,1,10000,0.06438493728637695,(0.019249372478476263-0.0053959858263734435j),(-4.277974871448294e-05+1.7870141475191266e-05j),0.023551033382469055,0.05288410186767578,6.586604078263298e-07,0.0011875218866119527,,,27932,4788890,,,,,,,0.18401503562927246,0.06701254844665527,0.0007405281066894531,,,,,-58.571325833330505,-87.88069804273125,-0.06055113442227458,,,0.30539584159851074,0.06153416633605957,50,0.0038683941059624903,(0.019249372478476263-0.0053959858263734435j),(0.004613140757746087+0.004646277222307453j),0.12337327003479004,0.12440681457519531,0.5716285705566406
6,6,(1.0000000000000004+0j),10000,10000,1,10000,0.06449317932128906,(0.02473693170693165-0.008904027528286715j),(3.300082062118846e-05-4.178234097242623e-05j),0.027128688782224325,0.05672454833984375,1.2548716430272446e-06,0.001705067979629425,,,28685,4796900,,,,,,,0.1853773593902588,0.06678390502929688,0.0007343292236328125,,,,,-61.902374912835825,-87.87373328178988,-0.34590091866744466,,,0.31035614013671875,0.058019399642944336,50,0.005230814879643602,(0.02473693170693165-0.008904027528286715j),(0.007260079367040257+0.0012991332520862979j),0.12332963943481445,0.12436771392822266,0.5676999092102051
7,7,(1.0000000000000004+0j),10000,10000,1,10000,0.0661013126373291,(0.03168597362018852-0.014953724506923846j),(3.601616818192979e-05+2.12732067833819e-05j),0.030971104695973837,0.05328965187072754,2.6825857790685154e-06,0.0027966635708248817,,,29219,4799922,,,,,,,0.19657135009765625,0.06640768051147461,0.0008149147033691406,,,,,-65.11220664651711,-88.87560597094854,-0.0480524589617669,,,0.31794118881225586,0.06065106391906738,50,0.007017961779361987,(0.03168597362018852-0.014953724506923846j),(-0.006155224027038443-0.005649508788442404j),0.12754321098327637,0.12857985496520996,0.5835752487182617
8,8,(1.0000000000000002+0j),10000,10000,1,10000,0.06372380256652832,(0.041163068358679764-0.022362776536393084j),(3.260730156984972e-05-3.5088425705940477e-05j),0.036617810488843675,0.05381655693054199,6.5986717239949444e-06,0.00492120864051534,,,31057,4814634,,,,,,,0.18636798858642578,0.06721162796020508,0.0008089542388916016,,,,,-68.58743293663953,-87.40023391768763,0.07322295479453186,,,0.30901169776916504,0.06489276885986328,50,0.00932601291885218,(0.041163068358679764-0.022362776536393084j),(0.009120981669496191-0.0006707840427778952j),0.12297725677490234,0.12403392791748047,0.5723028182983398
9,9,(1+0j),10000,10000,1,10000,0.06350159645080566,(0.05298132983679955-0.03313860713961802j),(-2.716557715441748e-05-1.9208730823519133e-05j),0.04524681778832328,0.052814483642578125,1.8446517566281373e-05,0.009010280441801294,,,31878,4824228,,,,,,,0.18660473823547363,0.06648445129394531,0.0008466243743896484,,,,,-71.11254959519583,-88.18829204875364,0.20587601360646465,,,0.30754756927490234,0.06679105758666992,50,0.013805603813528258,(0.05298132983679955-0.03313860713961802j),(-0.0037968477199198966+0.009894571239232852j),0.12338495254516602,0.1244204044342041,0.5726921558380127
